Project Names,Status,Mean Time Between Comments(hours),Median Time Between Comments(hours),90th Percentile Time Between Comments(hours)
SkyWalking,graduated,2.09,0.27,4.34
Sling,graduated,194.02,2.34,427.06
Solr,graduated,4.29,1.0,12.1
SpamAssassin,graduated,15657.04,15657.04,28169.19
Spark,graduated,0.14,0.03,0.36
Sqoop,graduated,691.58,24.02,1821.06
Stanbol,graduated,7799.51,2951.26,24701.13
Storm,graduated,1.17,0.09,2.8
Stratos,graduated,36.41,3.98,115.66
Streams,graduated,123.88,2.15,130.28
Subversion,graduated,2274.13,147.77,10314.85
Synapse,graduated,810.41,53.1,3272.6
Syncope,graduated,78.83,0.69,175.37
SystemML,graduated,11.94,1.15,24.33
Tajo,graduated,16.37,0.86,17.09
tapestry-5,graduated,1129.03,43.95,3659.64
Tez,graduated,54.14,2.19,67.85
Thrift,graduated,17.03,2.44,40.77
Tika,graduated,60.71,2.32,156.5
TinkerPop,graduated,9.79,1.21,23.34
trafficcontrol,graduated,4.55,0.37,11.54
trafficserver,graduated,2.68,0.21,4.84
Trafodion,graduated,3.38,0.65,5.98
tuscany-sca-2.x,graduated,659.35,278.8,1895.46
Twill,graduated,114.26,4.44,179.73
uima-uimaj,graduated,292.3,2.36,769.82
Unomi,graduated,128.23,4.4,293.89
Usergrid,graduated,131.95,19.09,241.6
VCL,graduated,43896.17,43896.17,43896.17
VXQuery,graduated,149.26,9.66,327.24
Whirr,graduated,819.9,92.41,2361.65
Wicket,graduated,60.35,2.68,153.19
Wink,graduated,8928.06,59.89,25351.94
Wookie,graduated,3131.95,3190.79,6036.92
XMLBeans,graduated,1002.74,1.61,1363.7
Zeppelin,graduated,3.63,0.51,7.49
zetacomponents,retired,5637.81,2375.71,12098.63
Zipkin,retired,8.87,0.75,17.2
