Project Name,List Id,Project State,Total PRs (normalized),Merged PRs (normalized),Closed PRs (normalized),Unresolved PRs (normalized),Total Active Devs
Trafodion,236,1,24.66,21.76,2.58,0.32,76
tuscany-sca-2.x,238,1,0,0,0,0,0
Twill,239,1,3.86,0.0,3.76,0.1,21
uima-uimaj,240,1,16.55,15.75,0.6,0.2,20
Unomi,241,1,10.49,7.96,2.24,0.29,68
Usergrid,242,1,9.54,7.15,2.06,0.32,65
VCL,243,1,2.75,2.0,0.5,0.25,4
VXQuery,244,1,15.0,4.33,9.83,0.83,12
Whirr,246,1,0.88,0.0,0.38,0.5,8
Wicket,247,1,5.59,3.55,1.89,0.14,190
Wink,248,1,3.0,0.0,0.75,2.25,4
Wookie,250,1,15.0,0.0,5.0,10.0,1
XMLBeans,251,1,1.33,0.0,1.0,0.33,15
Zeppelin,252,1,5.16,0.45,4.53,0.19,950
zetacomponents,311,2,0.8,0.0,0.6,0.2,5
Zipkin,312,2,2.9,2.29,0.61,0.0,827
